Bank,First_Active_Month,Last_Active_Month
dr panjabrao deshmukh urban cooperative bank limited,2024-04-01,2025-10-01
dreamplug paytech solutions private limited,2024-09-01,2025-10-01
dreampurse technologies pvt limited,2025-03-01,2025-10-01
durgapur steel peoples cooperative babk limited,2024-04-01,2025-10-01
durgapur steel peoples cooperative bank limited,2024-04-01,2025-10-01
durgapur steel peoples cooperative bankltd,2024-12-01,2025-10-01
dwarakadas mantri nagari sahakari bank limited,2024-04-01,2025-10-01
easebuzz private limited,2025-02-01,2025-10-01
ellaquai dehati bank,2024-04-01,2025-09-01
emirates nbd bank,2024-04-01,2025-10-01
equitas small finance bank limited,2024-04-01,2025-10-01
eroute,2025-09-01,2025-10-01
eroute technologies private limited,2024-04-01,2025-10-01
eroute technologies private limited prepaid,2024-04-01,2025-09-01
esaf small finance bank limited,2024-04-01,2025-10-01
etah district cooperative bank limited,2024-04-01,2025-10-01
etah district cooperative bank limited etah,2024-04-01,2025-09-01
etah urban cooperative bank limited,2024-04-01,2025-10-01
etawah dccb etawah,2024-04-01,2025-10-01
etawah district cooperative bank limited,2024-04-01,2025-10-01
etawah urban cooperative bank limited,2024-04-01,2025-10-01
euronet services india private limited,2024-04-01,2025-10-01
euronet services india pvt limited,2025-02-01,2025-05-01
faizabad cooperative district bank limited faizabad,2024-04-01,2025-08-01
fincare small finance bank limited,2024-04-01,2024-12-01
fingrowth cooperative bank limited,2024-04-01,2025-10-01
firozabad zila sahakari bank limited,2024-04-01,2025-10-01
firozabad zila sahakari bank limited firozabad,2024-04-01,2025-10-01
g p parsik sahakari bank limited,2024-04-01,2025-10-01
gadchirolli district cooperative bank,2024-04-01,2025-10-01
gadhinglaj urban cooperative bank limited,2024-04-01,2025-10-01
gandhibag sahakari bank limited nagpur,2024-04-01,2025-10-01
gandhibagh sahakari bank limited,2024-04-01,2025-10-01
ganesh sahakari ban limited,2024-04-01,2025-09-01
ganraj nagari sahakari bank limited beed,2024-04-01,2025-10-01
garagepreneurs internet private limited slice,2024-04-01,2025-02-01
gautam sahakari bank limited,2024-11-01,2025-10-01
gautam sahakari bank limited gautamnagar,2024-04-01,2025-10-01
gayatri cooperativet urban bank,2024-04-01,2025-10-01
general post office,2024-04-01,2025-10-01
george town cooperative bank limited,2024-04-01,2025-10-01
gipl slice,2024-04-01,2024-05-01
godavari laxmi cooperative bank limited jalgaon,2024-04-01,2025-10-01
godavari urban cooperative bank limited,2024-04-01,2025-10-01
godavari urban cooperative bank limited nashik,2024-04-01,2025-10-01
